event_date,event_hour,event_type,event_count,unique_actors,unique_repos
2026-02-17,0,PushEvent,71107,29490,32381
2026-02-17,0,PullRequestEvent,8625,3684,4173
2026-02-17,0,CreateEvent,8388,6039,6783
2026-02-17,0,IssuesEvent,3576,1137,1137
2026-02-17,0,WatchEvent,3232,2618,2477
2026-02-17,0,DeleteEvent,3212,1644,1924
2026-02-17,0,IssueCommentEvent,2273,1352,1338
2026-02-17,0,PullRequestReviewCommentEvent,2038,470,668
2026-02-17,0,PullRequestReviewEvent,1584,771,931
2026-02-17,0,ForkEvent,825,653,642
2026-02-17,0,ReleaseEvent,447,311,345
2026-02-17,0,MemberEvent,222,198,212
2026-02-17,0,GollumEvent,122,59,58
2026-02-17,0,PublicEvent,74,73,73
2026-02-17,0,DiscussionEvent,42,25,26
2026-02-17,0,CommitCommentEvent,24,14,13
2026-02-17,1,PushEvent,68431,32150,34593
2026-02-17,1,CreateEvent,7506,5227,5802
2026-02-17,1,PullRequestEvent,6606,3246,3621
2026-02-17,1,IssuesEvent,3423,1012,1011
2026-02-17,1,WatchEvent,3088,2474,2330
2026-02-17,1,DeleteEvent,2772,1363,1532
2026-02-17,1,IssueCommentEvent,1762,1091,1083
2026-02-17,1,PullRequestReviewCommentEvent,1419,383,541
2026-02-17,1,PullRequestReviewEvent,1216,625,732
2026-02-17,1,ForkEvent,593,512,517
2026-02-17,1,ReleaseEvent,282,243,263
2026-02-17,1,MemberEvent,195,178,179
2026-02-17,1,GollumEvent,98,55,54
2026-02-17,1,PublicEvent,75,71,75
2026-02-17,1,DiscussionEvent,38,19,20
2026-02-17,1,CommitCommentEvent,17,15,15
