repo_name,repo_owner,repo_short_name,total_events,total_contributors,push_count,star_count,fork_count,pr_count,issue_count,activity_rank
Farwalker3/sole-resolver,Farwalker3,sole-resolver,1631,1,1631,0,0,0,0,1
gaston1799/RobloxLua,gaston1799,RobloxLua,1104,1,1104,0,0,0,0,2
xyzwebp/img,xyzwebp,img,1011,1,1011,0,0,0,0,3
freeukapp/uk,freeukapp,uk,871,1,871,0,0,0,0,4
escapingwork/teenagerspopulation,escapingwork,teenagerspopulation,758,1,758,0,0,0,0,5
openclaw/openclaw,openclaw,openclaw,620,211,24,112,44,364,19,6
cosmocws/zelenza_app,cosmocws,zelenza_app,597,1,597,0,0,0,0,7
watchout/hotel-kanri,watchout,hotel-kanri,517,1,0,0,0,0,517,8
sidarthus89/EVE-Data-Site-Dev,sidarthus89,EVE-Data-Site-Dev,441,1,441,0,0,0,0,9
sidarthus89/EVE-Data-Site,sidarthus89,EVE-Data-Site,439,1,439,0,0,0,0,10
nekovach-commits/StockPredictions,nekovach-commits,StockPredictions,411,1,411,0,0,0,0,11
shaehabultra/test,shaehabultra,test,377,1,377,0,0,0,0,12
kpnsec/iplist,kpnsec,iplist,348,1,348,0,0,0,0,13
Carbare/teste,Carbare,teste,346,1,346,0,0,0,0,14
leandrohstein/transporteservico-urbs-data,leandrohstein,transporteservico-urbs-data,336,1,126,0,0,94,0,15
watchout/wbs,watchout,wbs,325,1,0,0,0,0,325,16
tiagotardelli/curso-django,tiagotardelli,curso-django,323,1,0,0,0,0,0,17
photo2story/my-flask-app,photo2story,my-flask-app,283,1,283,0,0,0,0,18
hobsRKM/palyerData,hobsRKM,palyerData,276,1,276,0,0,0,0,19
tigerbeetle/devhubdb,tigerbeetle,devhubdb,256,2,256,0,0,0,0,20
burmese-tv/hell,burmese-tv,hell,250,1,250,0,0,0,0,21
nonkh/xoxz,nonkh,xoxz,223,1,223,0,0,0,0,22
neco222/RSS,neco222,RSS,214,1,214,0,0,0,0,23
inperfecther/alpha,inperfecther,alpha,211,1,211,0,0,0,0,24
rubixcubeman/openclaw,rubixcubeman,openclaw,206,1,0,0,0,0,0,25
snowmapofficial/reports,snowmapofficial,reports,205,1,205,0,0,0,0,26
HonzaMat664/nas-web,HonzaMat664,nas-web,202,1,202,0,0,0,0,27
chenrui333/homebrew-tap,chenrui333,homebrew-tap,194,1,6,0,0,16,0,28
HubSpot/HubSpot-public-api-spec-collection,HubSpot,HubSpot-public-api-spec-collection,193,1,189,0,0,0,0,29
cleanstart-dev/cleanstart-security-advisories,cleanstart-dev,cleanstart-security-advisories,192,1,178,0,0,7,0,30
waqar0345/Sid,waqar0345,Sid,190,1,190,0,0,0,0,31
SoliSpirit/v2ray-configs,SoliSpirit,v2ray-configs,187,1,187,0,0,0,0,32
surservice/ping,surservice,ping,181,1,181,0,0,0,0,33
videodacondividerefanpage-cpu/img,videodacondividerefanpage-cpu,img,171,1,171,0,0,0,0,34
xiaoandy1974g/gdl,xiaoandy1974g,gdl,169,1,169,0,0,0,0,35
nickmatt1104/contribution-history,nickmatt1104,contribution-history,168,1,168,0,0,0,0,36
aisaf8873/Abc,aisaf8873,Abc,167,1,167,0,0,0,0,37
OctoPunkIO/taskflow,OctoPunkIO,taskflow,167,3,30,0,0,30,45,38
arii/hrm,arii,hrm,165,1,34,0,0,18,3,39
CloudStrife7/basement-os-web,CloudStrife7,basement-os-web,153,1,153,0,0,0,0,40
nazuninha/uploads,nazuninha,uploads,152,1,152,0,0,0,0,41
omgonzalez0584/DevOps-Tools,omgonzalez0584,DevOps-Tools,149,1,149,0,0,0,0,42
R-ay-07/openclaw,R-ay-07,openclaw,149,1,0,0,0,0,0,43
nurseyandoaktall/internet-status,nurseyandoaktall,internet-status,146,1,146,0,0,0,0,44
sait-ama/eternal,sait-ama,eternal,146,1,146,0,0,0,0,45
BackersPL/back.cloud-pages.dev,BackersPL,back.cloud-pages.dev,141,1,141,0,0,0,0,46
DaewooKim/daily-ai-news-brief,DaewooKim,daily-ai-news-brief,141,1,141,0,0,0,0,47
smartcampusutp/SmartCampus_UTP,smartcampusutp,SmartCampus_UTP,135,2,135,0,0,0,0,48
jasonydog9/SpeechQBPublic,jasonydog9,SpeechQBPublic,130,1,130,0,0,0,0,49
isaacsaltiel/puntazo_web_v2,isaacsaltiel,puntazo_web_v2,129,1,129,0,0,0,0,50
